Radio    	Rad    	Radio-source
  ·  ·  ·  Ae*    	Ae*    	Herbig Ae/Be star
  ·  ·  Em*    	Em*    	Emission-line Star
  ·  ·  ·  Be*    	Be*    	Be Star
  ·  ·  BlueStraggler    	BS*    	Blue Straggler Star
  ·  ·  RGB*    	RG*    	Red Giant Branch star
  ·  ·  AGB*    	AB*    	Asymptotic Giant Branch Star (He-burning)
  ·  ·  ·  C*    	C*     	Carbon Star
  ·  ·  ·  S*    	S*     	S Star
  ·  ·  SG*    	sg*    	Evolved supergiant star
  ·  ·  ·  RedSG*    	s*r    	Red supergiant star
  ·  ·  ·  YellowSG*    	s*y    	Yellow supergiant star
  ·  ·  ·  BlueSG*    	s*b    	Blue supergiant star
  ·  ·  post-AGB*    	pA*    	Post-AGB Star (proto-PN)
  ·  ·  WD*    	WD*    	White Dwarf
  ·  ·  ·  pulsWD*    	ZZ*    	Pulsating White Dwarf
  ·  ·  low-mass*    	LM*    	Low-mass star (M<1solMass)
  ·  ·  brownD*    	BD*    	Brown Dwarf (M<0.08solMass)
  ·  ·  Neutron*    	N*     	Confirmed Neutron Star
  ·  ·  OH/IR    	OH*    	OH/IR star
  ·  ·  CH    	CH*    	Star with envelope of CH type
  ·  ·  pMS*    	pr*    	Pre-main sequence Star
  ·  ·  ·  TTau*    	TT*    	T Tau-type Star
  ·  ·  WR*    	WR*    	Wolf-Rayet Star
  ·  PM*    	PM*    	High proper-motion Star
  ·  HV*    	HV*    	High-velocity Star
  ·  V*    	V*     	Variable Star
  ·  ·  Irregular_V*    	Ir*    	Variable Star of irregular type
  ·  ·  ·  Orion_V*    	Or*    	Variable Star of Orion Type
  ·  ·  ·  Rapid_Irreg_V*    	RI*    	Variable Star with rapid variations
  ·  ·  Eruptive*    	Er*    	Eruptive variable Star
  ·  ·  ·  Flare*    	Fl*    	Flare Star
  ·  ·  ·  FUOr    	FU*    	Variable Star of FU Ori type
  ·  ·  ·  Erupt*RCrB    	RC*    	Variable Star of R CrB type
  ·  ·  ·  RCrB_Candidate    	RC?    	Variable Star of R CrB type candiate
  ·  ·  RotV*    	Ro*    	Rotationally variable Star
  ·  ·  ·  RotV*alf2CVn    	a2*    	Variable Star of alpha2 CVn type
  ·  ·  ·  Pulsar    	Psr    	Pulsar
  ·  ·  ·  BYDra    	BY*    	Variable of BY Dra type
  ·  ·  ·  RSCVn    	RS*    	Variable of RS CVn type
  ·  ·  PulsV*    	Pu*    	Pulsating variable Star
  ·  ·  ·  RRLyr    	RR*    	Variable Star of RR Lyr type
  ·  ·  ·  Cepheid    	Ce*    	Cepheid variable Star
  ·  ·  ·  PulsV*delSct    	dS*    	Variable Star of delta Sct type
  ·  ·  ·  PulsV*RVTau    	RV*    	Variable Star of RV Tau type
  ·  ·  ·  PulsV*WVir    	WV*    	Variable Star of W Vir type
  ·  ·  ·  PulsV*bCep    	bC*    	Variable Star of beta Cep type
  ·  ·  ·  deltaCep    	cC*    	Classical Cepheid (delta Cep type)
  ·  ·  ·  gammaDor    	gD*    	Variable Star of gamma Dor type
  ·  ·  ·  pulsV*SX    	SX*    	Variable Star of SX Phe type (subdwarf)
  ·  ·  LPV*    	LP*    	Long-period variable star
  ·  ·  ·  Mira    	Mi*    	Variable Star of Mira Cet type
  ·  ·  ·  semi-regV*    	sr*    	Semi-regular pulsating Star
  ·  ·  SN    	SN*    	SuperNova
  ·  Sub-stellar    	su*    	Sub-stellar object
  ·  ·  Planet?    	Pl?    	Extra-solar Planet Candidate
  ·  ·  Planet    	Pl     	Extra-solar Confirmed Planet

Galaxy    	G     	Galaxy
  ·  PartofG    	PoG    	Part of a Galaxy
  ·  GinCl    	GiC    	Galaxy in Cluster of Galaxies
  ·  ·  BClG    	BiC    	Brightest galaxy in a Cluster (BCG)
  ·  GinGroup    	GiG    	Galaxy in Group of Galaxies
  ·  GinPair    	GiP    	Galaxy in Pair of Galaxies
  ·  High_z_G    	HzG    	Galaxy with high redshift
  ·  AbsLineSystem    	ALS    	Absorption Line system
  ·  ·  Ly-alpha_ALS    	LyA    	Ly alpha Absorption Line system
  ·  ·  DLy-alpha_ALS    	DLA    	Damped Ly-alpha Absorption Line system
  ·  ·  metal_ALS    	mAL    	metallic Absorption Line system
  ·  ·  Ly-limit_ALS    	LLS    	Lyman limit system
  ·  ·  Broad_ALS    	BAL    	Broad Absorption Line system
  ·  RadioG    	rG     	Radio Galaxy
  ·  HII_G    	H2G    	HII Galaxy
  ·  LSB_G    	LSB    	Low Surface Brightness Galaxy
  ·  AGN_Candidate    	AG?    	Possible Active Galaxy Nucleus
  ·  ·  QSO_Candidate    	Q?     	Possible Quasar
  ·  ·  Blazar_Candidate    	Bz?    	Possible Blazar
  ·  ·  BLLac_Candidate    	BL?    	Possible BL Lac
  ·  EmG    	EmG    	Emission-line galaxy
  ·  StarburstG    	SBG    	Starburst Galaxy
  ·  BlueCompG    	bCG    	Blue compact Galaxy
  ·  LensedImage    	LeI    	Gravitationally Lensed Image
  ·  ·  LensedG    	LeG    	Gravitationally Lensed Image of a Galaxy
  ·  ·  LensedQ    	LeQ    	Gravitationally Lensed Image of a Quasar
  ·  AGN    	AGN    	Active Galaxy Nucleus
  ·  ·  LINER    	LIN    	LINER-type Active Galaxy Nucleus
  ·  ·  Seyfert    	SyG    	Seyfert Galaxy
  ·  ·  ·  Seyfert_1    	Sy1    	Seyfert 1 Galaxy
  ·  ·  ·  Seyfert_2    	Sy2    	Seyfert 2 Galaxy
  ·  ·  Blazar    	Bla    	Blazar
  ·  ·  ·  BLLac    	BLL    	BL Lac - type object
  ·  ·  ·  OVV    	OVV    	Optically Violently Variable object
  ·  ·  QSO    	QSO    	Quasar
